0.00    0.00    0.00    0.00    0.00    0.00    0.00
5.00    0.00    1.01    1.35    1.52    2.02    2.02
10.00   0.00    1.99    2.66    2.99    3.98    3.98
15.00   0.00    2.91    3.89    4.37    5.82    5.82
20.00   0.00    3.75    5.00    5.62    7.48    7.48
25.00   0.00    4.47    5.96    6.70    8.92    8.92
30.00   0.00    5.05    6.73    7.57    10.09   10.09
35.00   0.00    5.48    7.31    8.22    10.95   10.96
40.00   0.00    5.75    7.66    8.62    11.48   11.49
45.00   0.00    5.84    7.78    8.76    11.67   11.67
50.00   0.00    5.75    7.67    8.63    11.50   11.50
55.00   0.00    5.49    7.32    8.23    10.97   10.98
60.00   0.00    5.06    6.75    7.59    10.12   10.13
65.00   0.00    4.48    5.97    6.72    8.95    8.96
70.00   0.00    3.76    5.01    5.64    7.52    7.52
75.00   0.00    2.92    3.90    4.39    5.85    5.85
80.00   0.00    2.00    2.67    3.00    4.00    4.01
85.00   0.00    1.02    1.35    1.52    2.03    2.03
90.00   0.00    0.00    0.00    0.00    0.00    0.00
